Colum_name,Example,Data_type,Explanation
Species,SP4,Text/Factor,Species code SP1 - SP16
Patrol,A,Text/Factor,"Patrols are coded as A-B, C-D. A and C are beginnings of the season in each surveyed year. B and D are resampled leaves at the end of the season. Difference between B and A is the change in herbivory damage in that given year (ither after 1month or 4 months)"
SpeciesAnal,Acer_platanoides,Text/Factor,Latine name of the plan species used for analyses and phylogeny
Site,LAK,Text/Factor,"Name of the site - one of the six possible sites (LAK, TOM, BUB, KAK, DRO, EUC)"
TwigCodeNoPatrol,LAK_Acer_platanoides_1CN1_Red,Text/Factor,Code consisting of Site_SpeaciesAnal_IndividualTreatment_Patrol_Twig
TwigArea_sum,879.63662,Numeric,Sum of the leaf area (Area.x) per individual twigs (out of 10 leaves per each twig)
TwigHerbivory_sum,0,Numeric,Sum of the Herbivory per individual twigs (out of 10 leaves per each twig)
TwigHerbProp,0,Numeric,"Proportion of the leaf area eaten by herbivores, calculated as TwigHerbivory_sum/TwigArea_sum"
StartEndDiff,NA,Numeric,"Differnce in herbivory since the beginning of the experiment. NA for patrols A, C as these are starts of the experiment, numberoc values for patrold B and D"
SaplingCodeNoPatrol,LAK_Acer_platanoides_1CN1,Text/Factor,Code consisting of Site_SpeaciesAnal_IndividualTreatment
SaplingCodeUnique,LAK_Acer_platanoides_1CN1_A,Text/Factor,Code consisting of Site_SpeaciesAnal_IndividualTreatment_Patrol
TwigCodeUnique,LAK_Acer_platanoides_1CN1_Red_A,Text/Factor,Code consisting of Site_SpeaciesAnal_IndividualTreatment_Twig_Patrol
