Species,SpeciesAnal,Site,TwigCodeNoPatrol,BranchCodeNoPatrol,Patrol,TwigArea_sum,TwigHerbivory_sum,TwigHerbProp,StartEndDiff,TwigCodeUnique,SaplingCodeUnique
SP4,Haplostichanthus_ramiflorus,DRO,DRO_Haplostichanthus_ramiflorus_5CN2_Red,DRO_Haplostichanthus_ramiflorus_5CN2,B,980.93813,11.34371,0.011564144,0.039036697,DRO_Haplostichanthus_ramiflorus_5CN2_Red_B,DRO_Haplostichanthus_ramiflorus_5CN2_B
SP2,Dysoxylum_sp.,DRO,DRO_Dysoxylum_sp._3CN2_White,DRO_Dysoxylum_sp._3CN2,B,569.28498,14.38652,0.02527121,0.038931666,DRO_Dysoxylum_sp._3CN2_White_B,DRO_Dysoxylum_sp._3CN2_B
SP5,Myristica_globosa,DRO,DRO_Myristica_globosa_2CN2_Blue,DRO_Myristica_globosa_2CN2,B,895.81043,8.49934,0.009487878,0.037795308,DRO_Myristica_globosa_2CN2_Blue_B,DRO_Myristica_globosa_2CN2_B
SP1,Cryptocarya_sp. ,DRO,DRO_Cryptocarya_sp. _5CN2_Red,DRO_Cryptocarya_sp. _5CN2,D,732.328,22.27,0.030409871,0.03728056,DRO_Cryptocarya_sp. _5CN2_Red_D,DRO_Cryptocarya_sp. _5CN2_D
SP8,Argyrodendron_peralatum,DRO,DRO_Argyrodendron_peralatum_2CN2_Blue,DRO_Argyrodendron_peralatum_2CN2,B,954.47052,13.00297,0.013623229,0.036528909,DRO_Argyrodendron_peralatum_2CN2_Blue_B,DRO_Argyrodendron_peralatum_2CN2_B
SP3,Cleistanthus _myrianthus,DRO,DRO_Cleistanthus _myrianthus_3CN2_Red,DRO_Cleistanthus _myrianthus_3CN2,B,810.65078,22.98875,0.028358389,0.03437529,DRO_Cleistanthus _myrianthus_3CN2_Red_B,DRO_Cleistanthus _myrianthus_3CN2_B
SP5,Myristica_globosa,DRO,DRO_Myristica_globosa_4CN2_Red,DRO_Myristica_globosa_4CN2,B,858.36512,27.76784,0.032349684,0.03371822,DRO_Myristica_globosa_4CN2_Red_B,DRO_Myristica_globosa_4CN2_B
SP5,Myristica_globosa,DRO,DRO_Myristica_globosa_3CN2_Blue,DRO_Myristica_globosa_3CN2,D,886.076,54.304,0.061285939,0.032720556,DRO_Myristica_globosa_3CN2_Blue_D,DRO_Myristica_globosa_3CN2_D
SP2,Dysoxylum_sp.,DRO,DRO_Dysoxylum_sp._4CN2_Red,DRO_Dysoxylum_sp._4CN2,B,1166.7024,19.26659,0.016513714,0.032473786,DRO_Dysoxylum_sp._4CN2_Red_B,DRO_Dysoxylum_sp._4CN2_B
SP8,Argyrodendron_peralatum,DRO,DRO_Argyrodendron_peralatum_3CN2_Blue,DRO_Argyrodendron_peralatum_3CN2,B,959.16476,25.77293,0.02687018,0.032257393,DRO_Argyrodendron_peralatum_3CN2_Blue_B,DRO_Argyrodendron_peralatum_3CN2_B
SP2,Acacia_parramattensis,EUC,EUC_Acacia_parramattensis_1CN2_Blue,EUC_Acacia_parramattensis_1CN2,D,177.78241,0.31786,0.001787916,0.031975439,EUC_Acacia_parramattensis_1CN2_Blue_D,EUC_Acacia_parramattensis_1CN2_D
SP6,Rockinghamia_angustifolia,DRO,DRO_Rockinghamia_angustifolia_1CN2_White,DRO_Rockinghamia_angustifolia_1CN2,B,870.91924,26.66197,0.030613596,0.031648789,DRO_Rockinghamia_angustifolia_1CN2_White_B,DRO_Rockinghamia_angustifolia_1CN2_B
SP2,Dysoxylum_sp.,DRO,DRO_Dysoxylum_sp._1CN2_Blue,DRO_Dysoxylum_sp._1CN2,D,989.134,47.548,0.048070332,0.031645127,DRO_Dysoxylum_sp._1CN2_Blue_D,DRO_Dysoxylum_sp._1CN2_D
SP5,Myristica_globosa,DRO,DRO_Myristica_globosa_5CN2_Red,DRO_Myristica_globosa_5CN2,B,884.21908,26.61542,0.030100481,0.031629504,DRO_Myristica_globosa_5CN2_Red_B,DRO_Myristica_globosa_5CN2_B
SP2,Dysoxylum_sp.,DRO,DRO_Dysoxylum_sp._4CN2_Blue,DRO_Dysoxylum_sp._4CN2,D,1143.543,36.353,0.031789797,0.031398444,DRO_Dysoxylum_sp._4CN2_Blue_D,DRO_Dysoxylum_sp._4CN2_D
SP5,Myristica_globosa,DRO,DRO_Myristica_globosa_2CN2_Red,DRO_Myristica_globosa_2CN2,B,1059.83318,9.18039,0.008662109,0.031130083,DRO_Myristica_globosa_2CN2_Red_B,DRO_Myristica_globosa_2CN2_B
SP6,Rockinghamia_angustifolia,DRO,DRO_Rockinghamia_angustifolia_2CN2_Blue,DRO_Rockinghamia_angustifolia_2CN2,B,874.89051,21.81336,0.024932674,0.0310195,DRO_Rockinghamia_angustifolia_2CN2_Blue_B,DRO_Rockinghamia_angustifolia_2CN2_B
SP8,Argyrodendron_peralatum,DRO,DRO_Argyrodendron_peralatum_2CN2_White,DRO_Argyrodendron_peralatum_2CN2,B,806.9522,17.77993,0.022033436,0.030791194,DRO_Argyrodendron_peralatum_2CN2_White_B,DRO_Argyrodendron_peralatum_2CN2_B
