SpeciesAnal,mean_TwigHerbProp,sd_TwigHerbProp,p25_TwigHerbProp,median_TwigHerbProp,p75_TwigHerbProp
Celtis_latifolia,16.422701924137932,7.1193977944355,11.428764900000001,15.5830625,21.9571048
Eucalyptus_tereticornis,16.06028188275862,6.747465380338178,11.061204225000001,14.23000125,18.58300855
Betula_maximowicziana,14.040965725925926,9.378544968777598,7.8534307000000005,11.4242036,15.07754635
Prunus_ssiori,13.499315681481482,10.773807997643493,5.996138,11.2157145,16.2515589
Baccaurea_ramiflora,12.363773746666666,4.36996854250577,9.8870826,13.813313599999999,15.6284372
Dysoxylum_arborescens,12.325771806666667,8.415795768453902,6.979879824999999,10.26877605,14.0895476
Erythrospermum_candidum,10.739982444444445,4.100529548541683,8.165012399999998,10.702313400000001,14.416924550000001
Haplostichanthus_ramiflorus,10.2850561,6.505368697111849,5.815684425,9.43788735,14.756498675
Endiandra_leptodendron,10.28091594137931,3.7991952572755,7.847237799999999,10.4726325,12.6637539
Magnolia_kobus,9.786116980000001,10.849278243099418,1.5430883,3.88569035,20.282208275
Pimelodendron_amboinicum,8.803946006666667,5.413321560565577,6.605820475,8.69970955,11.11378095
Pometia_pinnata,8.803946006666667,5.413321560565577,6.605820475,8.69970955,11.11378095
Diospyros_kaki,7.88513282,4.5405124784113235,4.44278285,7.3469424000000005,11.62463805
Shorea_wangtianshuea,6.882813306666667,6.395798130848027,3.6492331999999994,5.6610983,8.4514717
Syringa_reticulata,6.842210266666666,6.841746327818812,0.9176823000000001,4.05613255,11.1405625
Orophea_laui,6.8115918466666665,4.073248435608875,4.83968915,5.57905,7.80045625
Dysoxylum_sp.,6.730864033333333,2.76261605133547,4.5207984,6.5582625,9.128969625
Garcinia_cowa,6.463364306666667,3.3607827239249644,4.0579880500000005,5.305186399999999,8.885769400000001
Gymnacranthera_paniculata,6.331044546666667,3.7351463071357167,3.7094195,5.568261,7.00981945
Rockinghamia_angustifolia,6.314534456666666,4.183956604366037,2.753488525,4.14502385,9.6623933
Fraxinus_lanuginosa,5.961221723076923,8.291720515283435,0.838454225,2.4217093,9.40404455
Carpinus_cordata,5.9116187133333336,5.69053405277801,1.8656689750000002,3.36712345,9.981767350000002
Quercus_robur,5.826310226666666,1.2752160268477464,5.103352525,5.73630925,6.872801575
Fraxinus_excelsior,5.537759666666667,1.3213058488002645,4.8938741,5.68055535,6.045817100000001
Carpinus_betulus,5.492274516666667,1.1394992895602725,4.70833735,5.42914235,6.092570275
Acer_platanoides,5.480839796666666,1.9804999046664205,4.4111482749999995,5.5734209,6.314391649999999
Ulmus_glabra,5.432606046666667,1.2718113880111788,4.327779425,5.5474046,6.331760899999999
Tilia_cordata,5.38912913,1.005715723801895,4.6944645750000005,5.53546495,6.16190095
Argyrodendron_peralatum,5.329060133333334,3.6244484863250412,2.679199475,3.73757385,7.05346635
Saprosma_ternata,5.185028633333333,4.674330115997872,2.3191126,3.252708,7.7939314500000005
Acer_pseudoplatanus,5.067178756666666,1.3484048459211446,4.53029915,4.99524185,6.0268228
Myristica_globosa,4.80975314,3.382390577204314,2.011117225,3.6471215999999997,7.6713585
Pittosporopsis_kerrii,4.784451866666666,4.223072173046934,1.6206934999999998,3.1618809,8.7207077
Cleidion_brevipetiolatum,4.527292926666667,2.409919023663618,2.9598236499999997,4.6136586,5.842268799999999
Acer_palmatum,4.33784536,4.189932301001073,0.743381675,2.9933577000000002,6.878846574999999
Breynia_oblingifolia,4.099969803333333,2.4753877895702865,2.3038768000000003,4.08732265,5.582987
Acacia_parramattensis,3.9963000388888887,4.291803408549805,1.1852894250000001,2.2337649500000003,4.491604675
Chrysophyllum_roxburghii,3.9864263933333333,3.8881016102648545,1.658266475,3.06626405,4.358642875
Eucalyptus_pruinosa,3.9520538933333333,2.009864812026338,2.402668425,3.8834874999999998,5.1159602
Ficus_erythrosperma,3.1366002620689657,4.141354515519634,0.3049319,1.6374296,3.4405719
Bursaria_spinosa,2.498354874074074,1.9568225191766362,0.7780482499999999,2.5451505,3.24043965
Acer_mono,2.4491669966666665,1.64370096830485,1.407973225,1.9967666,3.58274505
NA,8.369323261904762,4.316657367981697,5.082989100000001,8.1581778,11.598673575
